semester1,semester2,semester3,semester4,semester5
3.51,3.67,3.50,3.81,3.79
3.16,3.68,3.43,3.58,3.13
3.23,3.75,3.68,3.60,3.11
2.86,3.71,3.64,3.04,3.46
2.98,3.67,3.60,3.58,3.40
3.33,3.86,3.75,3.85,3.71
3.51,3.78,3.49,3.67,3.49
3.06,3.18,3.23,3.39,3.25
3.40,3.86,3.64,3.76,3.53
3.56,3.71,3.68,3.77,3.61
3.25,3.72,3.74,3.33,3.32
2.67,3.67,3.55,3.54,3.31
0,0,0,0,0
2.82,3.02,2.67,3.57,2.46
3.59,3.54,2.88,3.84,3.28
3.34,3.15,2.61,3.69,3.47
3.25,0,0,0,0
3.47,3.20,2.87,3.71,3.57
3.62,3.37,3.43,3.69,3.57
2.98,2.64,2.63,3.55,3.37
3.82,3.71,3.76,3.82,3.67
3.80,3.56,3.39,3.78,3.81
3.40,3.11,2.91,3.70,2.23
3.26,2.98,2.95,3.80,3.58
3.47,3.33,2.69,3.80,3.50
0,0,0,0,0
2.88,2.70,2.58,3.65,3.00
3.07,3.00,2.77,3.54,3.08
3.10,3.15,2.44,3.64,3.46
2.96,2.98,2.79,2.29,2.68
3.14,3.24,2.53,3.54,3.10
3.56,3.46,3.11,3.60,3.34
3.24,3.04,2.64,3.70,3.53
3.13,2.93,2.71,3.71,3.21
3.18,3.43,2.99,3.73,3.37
3.26,2.80,2.76,3.65,3.46
3.31,3.56,3.04,3.78,3.81
3.32,3.02,2.98,3.56,3.28
0,0,0,0,0
2.68,2.74,2.68,3.40,2.81
3.08,3.03,2.47,3.76,3.50
3.73,3.69,3.44,3.76,3.85
3.05,3.26,2.97,3.66,3.75
3.10,2.80,2.76,3.65,3.30
3.18,3.10,2.92,3.63,3.62
3.20,3.67,3.10,3.54,3.67
3.22,3.16,2.55,0,0
3.20,3.56,3.10,3.71,3.48
3.19,3.39,2.70,3.76,3.45
3.23,3.24,2.48,3.29,2.53
3.44,3.40,3.35,3.37,2.97
3.01,3.15,2.83,2.96,2.43
2.59,3.07,2.42,3.20,2.38
2.76,3.07,2.23,3.24,2.43
3.11,3.10,2.31,3.11,2.47
2.69,3.26,3.22,3.17,2.71
3.48,3.24,2.93,3.20,2.75
2.82,2.96,2.35,3.01,2.25
3.39,3.58,3.03,3.23,2.82
3.11,3.17,2.69,3.26,2.42
2.73,2.92,3.15,3.12,2.30
2.81,3.11,2.53,2.60,2.31
2.80,3.43,2.92,3.26,2.75
3.24,3.37,3.22,3.35,2.77
3.31,3.24,3.54,3.35,2.81
3.28,3.40,3.20,3.25,2.92
3.30,3.45,2.93,3.46,2.97
3.57,3.88,2.34,0,0
3.30,3.17,2.63,3.41,2.53
2.87,3.37,2.98,3.37,3.18
3.38,3.40,3.20,3.07,2.76
2.59,2.72,1.10,2.92,2.64
2.68,3.12,3.44,3.60,3.18
3.12,3.33,2.70,3.52,2.30
3.15,2.96,3.30,3.10,2.21
3.34,3.54,3.30,3.36,2.98
3.42,3.54,3.61,3.48,2.68
3.40,3.11,2.40,3.29,2.60
3.43,3.50,3.34,3.16,3.00
3.03,3.36,2.57,3.47,2.21
3.52,3.75,3.55,3.67,2.91
2.94,3.07,2.24,3.54,2.86
3.01,3.11,2.50,3.40,2.75
3.38,3.49,3.18,3.42,2.91
3.04,2.93,2.56,3.38,2.59
