IP1;IP2;IP3;IP4
2,67;3,67;3,55;3,54
3,25;3,72;3,74;3,33
3,56;3,71;3,68;3,77
3,4;3,86;3,64;3,76
3,06;3,18;3,23;3,39
3,51;3,78;3,49;3,67
3,33;3,86;3,75;3,85
2,98;3,67;3,6;3,58
2,86;3,71;3,64;3,04
3,23;3,75;3,68;3,6
3,16;3,68;3,43;3,58
3,51;3,67;3,5;3,81
2,99;3,62;3,06;3,62
3,1;3,82;3,51;3,47
3,34;3,78;3,58;3,73
3,12;3,64;3,55;3,54
3,36;3,86;3,6;3,72
2,94;3,44;2,77;2,87
3,47;3,72;3,65;3,72
2,2;1,05;2,77;1,28
2,94;3,8;3,33;3,58
3,59;3,79;3,67;3,77
3,5;3,86;3,73;3,76
0;0;0;0
3,5;3,84;3,6;3,77
2,9;3,53;3,16;3,38
3,07;3,62;3,54;3,68
2,9;3,74;3,75;3,69
2,69;3,43;3,31;2,81
3,17;3,74;3,64;3,57
2,79;3,72;3,37;3,52
2,98;3,45;3,26;2,91
3,29;3,74;3,6;3,72
2,58;3,65;3,52;3,75
2,86;3,64;3,35;3,52
2,92;3,37;2,85;3,03
3,3;3,8;3,56;3,7
3,05;3,51;3,39;3,39
2,9;3,5;3,35;3,28
2,68;3,58;3,29;2,97
2,74;3,44;3,45;2,87
3,09;3,64;2,39;3,82
3,64;3,75;3,57;3,88
3;3,53;2,27;3,85
3,4;3,35;2,88;3,78
3,31;3,75;3,13;3,84
3,56;3,7;3,7;3,91
2,83;3,42;3,26;3,85
2,37;2,53;1,67;3,2
3,14;3,29;1,31;0
3,23;3,2;3,04;3,26
3,49;3,52;3,72;3,78
3,5;3,64;3,55;3,88
3,59;3,68;3,47;3,85
3,17;3,6;2,55;3,75
3,51;3,33;3,66;3,78
3,47;3,23;3,39;3,8
3,13;3,48;3,35;3,78
3,59;3,52;3,51;3,78
3,64;3,67;3,4;3,78
3,37;3,52;3,64;3,82
3,34;3,65;3,43;3,73
3,56;3,71;3,53;3,82
3,37;3,41;2,72;3,22
3,1;3,56;2,91;3,88
3,77;3,61;3,59;3,86
3,63;3,38;3,66;3,78
3,66;3,52;3,32;3,86
3,4;3,55;3,48;3,81
3,34;3,65;3,35;3,8
3,37;3,33;3,35;3,86
3,43;3,6;3,22;3,78
3,33;3;2,99;3,78
3,5;3,68;3,74;3,78
3,31;3,7;3,53;3,82
3,23;3,55;3,19;3,78
3,41;3,38;3,3;3,82
2,89;3,46;1,61;3,06
2,9;3,16;1,56;2,4
3,64;3,71;3,38;3,8
3,57;3,57;3,58;3,89
3,09;3,02;3,39;3,83
3,47;3,29;3,35;3,78
3,07;3,65;2,17;3,39
